25.191,25.191,25.191,25.119,23.791,23.387,23.049,21.656,20.275,19.349,18.647,16.233,14.327,13.221,12.451,10.133,8.5573,7.7163,7.1567,5.5768,4.5764,4.0629,3.7287
26.185,26.185,26.185,26.107,24.663,24.229,23.866,22.378,20.916,19.94,19.202,16.68,14.701,13.556,12.761,10.375,8.7574,7.8955,7.3224,5.706,4.6832,4.1585,3.8169
27.18,27.18,27.18,27.094,25.531,25.064,24.676,23.093,21.548,20.522,19.748,17.119,15.068,13.886,13.066,10.612,8.9539,8.0714,7.4851,5.8329,4.7883,4.2524,3.9036
28.176,28.176,28.176,28.081,26.393,25.894,25.48,23.8,22.171,21.095,20.287,17.55,15.428,14.209,13.365,10.845,9.1467,8.2442,7.645,5.9576,4.8916,4.3448,3.9889
29.171,29.171,29.171,29.068,27.251,26.718,26.277,24.499,22.787,21.66,20.817,17.974,15.782,14.526,13.659,11.074,9.3363,8.414,7.8021,6.0803,4.9933,4.4358,4.0729
30.167,30.167,30.167,30.054,28.103,27.537,27.069,25.19,23.394,22.218,21.339,18.392,16.13,14.838,13.947,11.299,9.5227,8.5811,7.9566,6.2011,5.0933,4.5254,4.1557
31.162,31.162,31.162,31.041,28.951,28.35,27.854,25.875,23.994,22.768,21.854,18.802,16.472,15.145,14.231,11.52,9.706,8.7454,8.1087,6.3199,5.1919,4.6137,4.2373
32.158,32.158,32.158,32.027,29.794,29.157,28.633,26.552,24.586,23.31,22.362,19.207,16.809,15.447,14.51,11.738,9.8864,8.9072,8.2584,6.437,5.2891,4.7007,4.3177
33.154,33.154,33.154,33.012,30.633,29.959,29.406,27.222,25.172,23.845,22.862,19.605,17.14,15.744,14.785,11.952,10.064,9.0665,8.4059,6.5524,5.3848,4.7865,4.397
34.15,34.15,34.15,33.997,31.466,30.756,30.174,27.885,25.75,24.374,23.356,19.998,17.467,16.037,15.056,12.163,10.239,9.2234,8.5512,6.6661,5.4793,4.8711,4.4753
35.147,35.147,35.147,34.982,32.295,31.547,30.936,28.542,26.321,24.895,23.843,20.384,17.788,16.325,15.323,12.371,10.412,9.3782,8.6945,6.7783,5.5724,4.9546,4.5525
36.143,36.143,36.143,35.967,33.119,32.332,31.692,29.192,26.885,25.41,24.324,20.766,18.105,16.609,15.585,12.576,10.582,9.5307,8.8358,6.8889,5.6644,5.0371,4.6287
37.139,37.139,37.139,36.951,33.939,33.113,32.442,29.835,27.444,25.919,24.799,21.142,18.418,16.889,15.844,12.778,10.75,9.6812,8.9751,6.9981,5.7551,5.1185,4.704
38.136,38.136,38.136,37.934,34.753,33.888,33.187,30.473,27.995,26.422,25.268,21.513,18.726,17.166,16.1,12.978,10.915,9.8298,9.1127,7.1059,5.8448,5.1989,4.7784
39.132,39.132,39.132,38.917,35.564,34.658,33.926,31.104,28.541,26.919,25.732,21.879,19.031,17.438,16.352,13.174,11.078,9.9764,9.2485,7.2124,5.9333,5.2783,4.8519
40.129,40.129,40.129,39.9,36.369,35.424,34.66,31.729,29.081,27.41,26.189,22.241,19.331,17.707,16.601,13.369,11.24,10.121,9.3826,7.3176,6.0208,5.3568,4.9246
41.125,41.125,41.125,40.882,37.17,36.184,35.388,32.349,29.615,27.895,26.642,22.598,19.627,17.973,16.847,13.56,11.399,10.264,9.5151,7.4215,6.1072,5.4344,4.9964
42.122,42.122,42.122,41.864,37.967,36.939,36.112,32.962,30.143,28.375,27.089,22.95,19.92,18.235,17.089,13.75,11.556,10.405,9.6459,7.5242,6.1927,5.5111,5.0674
43.118,43.118,43.118,42.845,38.759,37.689,36.83,33.57,30.666,28.85,27.531,23.299,20.209,18.494,17.329,13.937,11.712,10.545,9.7753,7.6258,6.2772,5.587,5.1377
44.115,44.115,44.115,43.826,39.547,38.434,37.543,34.173,31.183,29.32,27.968,23.643,20.495,18.75,17.566,14.122,11.866,10.683,9.9032,7.7262,6.3609,5.6621,5.2072
45.111,45.111,45.111,44.806,40.331,39.175,38.251,34.77,31.695,29.784,28.4,23.983,20.777,19.003,17.8,14.305,12.018,10.819,10.03,7.8255,6.4436,5.7363,5.276
46.108,46.108,46.108,45.785,41.11,39.911,38.954,35.361,32.202,30.244,28.828,24.32,21.056,19.254,18.031,14.486,12.168,10.954,10.155,7.9238,6.5254,5.8099,5.3441
47.104,47.104,47.104,46.764,41.885,40.642,39.652,35.948,32.704,30.699,29.251,24.652,21.333,19.501,18.26,14.665,12.316,11.088,10.279,8.021,6.6065,5.8826,5.4115
48.101,48.101,48.101,47.743,42.656,41.369,40.346,36.53,33.202,31.149,29.67,24.982,21.606,19.745,18.486,14.841,12.464,11.22,10.401,8.1173,6.6867,5.9547,5.4782
49.097,49.097,49.097,48.721,43.422,42.091,41.034,37.106,33.694,31.595,30.085,25.307,21.876,19.987,18.71,15.016,12.609,11.351,10.522,8.2126,6.7661,6.026,5.5443
50.094,50.094,50.094,49.698,44.185,42.809,41.718,37.678,34.182,32.036,30.495,25.629,22.143,20.227,18.932,15.19,12.753,11.48,10.642,8.307,6.8447,6.0967,5.6098
51.09,51.09,51.09,50.675,44.943,43.522,42.398,38.245,34.665,32.474,30.901,25.948,22.407,20.464,19.151,15.361,12.896,11.609,10.761,8.4004,6.9226,6.1667,5.6747
52.087,52.087,52.087,51.651,45.697,44.231,43.073,38.807,35.144,32.907,31.303,26.264,22.669,20.698,19.368,15.531,13.037,11.735,10.879,8.493,6.9998,6.2361,5.739
53.083,53.083,53.083,52.626,46.448,44.935,43.743,39.365,35.619,33.336,31.702,26.576,22.928,20.931,19.583,15.699,13.177,11.861,10.995,8.5847,7.0763,6.3048,5.8027
54.079,54.079,54.079,53.601,47.194,45.636,44.409,39.918,36.089,33.761,32.097,26.886,23.185,21.161,19.796,15.866,13.316,11.986,11.111,8.6756,7.1521,6.373,5.8658
55.075,55.075,55.075,54.575,47.936,46.332,45.071,40.467,36.555,34.182,32.488,27.192,23.439,21.388,20.007,16.031,13.453,12.109,11.225,8.7656,7.2272,6.4405,5.9284
56.072,56.072,56.071,55.549,48.675,47.024,45.729,41.012,37.018,34.599,32.875,27.496,23.691,21.614,20.215,16.194,13.589,12.231,11.339,8.8549,7.3017,6.5075,5.9905
57.068,57.068,57.068,56.522,49.409,47.712,46.382,41.552,37.476,35.013,33.259,27.797,23.94,21.838,20.422,16.356,13.724,12.353,11.451,8.9434,7.3756,6.5739,6.0521
58.064,58.064,58.064,57.495,50.14,48.395,47.031,42.088,37.93,35.423,33.64,28.095,24.187,22.059,20.627,16.516,13.857,12.473,11.563,9.0312,7.4488,6.6397,6.1131
59.06,59.06,59.06,58.466,50.867,49.075,47.676,42.62,38.381,35.83,34.017,28.39,24.432,22.279,20.83,16.676,13.99,12.592,11.673,9.1182,7.5214,6.705,6.1737
60.055,60.055,60.055,59.438,51.591,49.751,48.317,43.149,38.828,36.233,34.391,28.683,24.675,22.496,21.032,16.833,14.121,12.71,11.783,9.2045,7.5935,6.7698,6.2338
61.051,61.051,61.051,60.408,52.31,50.423,48.954,43.673,39.272,36.633,34.762,28.973,24.916,22.712,21.231,16.99,14.252,12.827,11.891,9.2901,7.6649,6.8341,6.2934
62.047,62.047,62.047,61.378,53.026,51.091,49.587,44.193,39.711,37.029,35.13,29.261,25.154,22.926,21.429,17.145,14.381,12.943,11.999,9.375,7.7358,6.8979,6.3525
63.042,63.042,63.042,62.347,53.739,51.756,50.216,44.71,40.148,37.423,35.494,29.546,25.391,23.138,21.626,17.299,14.509,13.059,12.106,9.4593,7.8062,6.9612,6.4112
64.038,64.038,64.038,63.316,54.448,52.416,50.842,45.223,40.581,37.813,35.856,29.829,25.625,23.348,21.821,17.451,14.636,13.173,12.212,9.5429,7.876,7.024,6.4695
65.033,65.033,65.033,64.283,55.153,53.073,51.463,45.732,41.01,38.2,36.215,30.11,25.858,23.557,22.014,17.603,14.762,13.287,12.317,9.6259,7.9453,7.0863,6.5273
66.029,66.029,66.029,65.251,55.855,53.727,52.081,46.237,41.437,38.584,36.571,30.388,26.089,23.764,22.205,17.753,14.888,13.399,12.422,9.7082,8.0141,7.1482,6.5847
67.024,67.024,67.024,66.217,56.553,54.376,52.696,46.74,41.86,38.965,36.924,30.665,26.318,23.969,22.395,17.902,15.012,13.511,12.526,9.79,8.0824,7.2097,6.6417
68.019,68.019,68.019,67.183,57.248,55.023,53.306,47.238,42.28,39.343,37.275,30.939,26.545,24.173,22.584,18.05,15.135,13.622,12.629,9.8711,8.1502,7.2707,6.6983
69.014,69.014,69.014,68.148,57.94,55.665,53.914,47.733,42.697,39.719,37.623,31.211,26.771,24.375,22.771,18.197,15.257,13.732,12.731,9.9517,8.2175,7.3313,6.7545
70.009,70.009,70.009,69.113,58.628,56.304,54.517,48.225,43.111,40.091,37.968,31.48,26.995,24.576,22.957,18.342,15.379,13.841,12.832,10.032,8.2844,7.3914,6.8103
71.004,71.004,71.004,70.076,59.313,56.94,55.118,48.714,43.522,40.461,38.31,31.748,27.217,24.775,23.142,18.487,15.5,13.95,12.933,10.111,8.3507,7.4512,6.8657
71.999,71.999,71.999,71.039,59.995,57.573,55.714,49.199,43.931,40.828,38.651,32.014,27.437,24.973,23.325,18.631,15.619,14.058,13.033,10.19,8.4167,7.5105,6.9208
72.994,72.994,72.994,72.002,60.673,58.202,56.308,49.682,44.336,41.193,38.988,32.278,27.656,25.169,23.506,18.773,15.738,14.165,13.132,10.268,8.4822,7.5695,6.9755
73.988,73.988,73.988,72.963,61.348,58.827,56.898,50.161,44.738,41.555,39.324,32.54,27.873,25.364,23.687,18.915,15.857,14.271,13.231,10.346,8.5472,7.6281,7.0299
74.982,74.982,74.982,73.924,62.02,59.45,57.485,50.637,45.138,41.914,39.657,32.8,28.089,25.558,23.866,19.056,15.974,14.377,13.329,10.424,8.6119,7.6863,7.0838
75.977,75.977,75.977,74.885,62.689,60.069,58.069,51.11,45.535,42.271,39.987,33.058,28.303,25.75,24.044,19.195,16.09,14.481,13.426,10.5,8.6761,7.7441,7.1375
76.971,76.971,76.971,75.844,63.355,60.685,58.649,51.58,45.93,42.626,40.316,33.315,28.516,25.941,24.221,19.334,16.206,14.586,13.523,10.577,8.7399,7.8015,7.1908
77.965,77.965,77.965,76.803,64.018,61.298,59.226,52.047,46.322,42.978,40.642,33.57,28.728,26.13,24.397,19.472,16.321,14.689,13.619,10.653,8.8033,7.8586,7.2438
78.959,78.959,78.959,77.761,64.677,61.908,59.801,52.512,46.711,43.328,40.966,33.823,28.938,26.319,24.571,19.609,16.436,14.792,13.715,10.728,8.8664,7.9154,7.2965
79.953,79.953,79.953,78.718,65.334,62.515,60.372,52.973,47.098,43.675,41.288,34.074,29.146,26.506,24.744,19.745,16.549,14.894,13.81,10.803,8.929,7.9718,7.3488
80.946,80.946,80.946,79.675,65.988,63.119,60.94,53.432,47.482,44.021,41.608,34.324,29.353,26.692,24.917,19.88,16.662,14.996,13.904,10.877,8.9912,8.0278,7.4008
81.94,81.94,81.94,80.631,66.638,63.719,61.505,53.888,47.864,44.364,41.925,34.572,29.559,26.877,25.088,20.015,16.774,15.097,13.998,10.951,9.0531,8.0835,7.4526
82.933,82.933,82.933,81.586,67.286,64.317,62.067,54.341,48.243,44.705,42.241,34.819,29.764,27.06,25.258,20.148,16.886,15.197,14.091,11.025,9.1147,8.1389,7.504
83.927,83.927,83.927,82.541,67.931,64.912,62.626,54.791,48.621,45.044,42.555,35.064,29.967,27.242,25.427,20.281,16.996,15.297,14.183,11.098,9.1758,8.194,7.5551
84.92,84.92,84.92,83.494,68.573,65.504,63.183,55.239,48.995,45.38,42.866,35.307,30.169,27.424,25.595,20.413,17.106,15.396,14.275,11.171,9.2366,8.2488,7.6059
85.913,85.913,85.913,84.447,69.212,66.093,63.736,55.685,49.368,45.715,43.176,35.549,30.37,27.604,25.762,20.544,17.216,15.495,14.367,11.243,9.2971,8.3032,7.6565
86.906,86.906,86.906,85.4,69.849,66.679,64.287,56.128,49.738,46.047,43.484,35.789,30.569,27.783,25.927,20.674,17.325,15.593,14.458,11.315,9.3572,8.3574,7.7067
87.899,87.899,87.899,86.351,70.482,67.263,64.835,56.568,50.107,46.378,43.79,36.028,30.768,27.961,26.092,20.804,17.433,15.69,14.548,11.386,9.417,8.4112,7.7567
88.891,88.891,88.891,87.302,71.113,67.844,65.381,57.006,50.473,46.707,44.094,36.266,30.965,28.138,26.256,20.933,17.541,15.787,14.638,11.457,9.4764,8.4648,7.8064
89.884,89.884,89.884,88.252,71.741,68.422,65.923,57.441,50.836,47.033,44.397,36.502,31.161,28.314,26.419,21.061,17.648,15.883,14.728,11.528,9.5356,8.5181,7.8559
90.876,90.876,90.876,89.201,72.367,68.997,66.463,57.874,51.198,47.358,44.697,36.737,31.356,28.489,26.581,21.188,17.754,15.979,14.817,11.598,9.5944,8.571,7.9051
91.868,91.868,91.868,90.15,72.99,69.57,67,58.305,51.558,47.681,44.996,36.97,31.55,28.663,26.743,21.315,17.86,16.074,14.905,11.668,9.6529,8.6237,7.954
92.86,92.86,92.86,91.098,73.61,70.14,67.535,58.733,51.916,48.002,45.293,37.202,31.742,28.836,26.903,21.441,17.965,16.169,14.993,11.738,9.7111,8.6761,8.0027
93.852,93.852,93.852,92.045,74.227,70.707,68.067,59.159,52.271,48.321,45.589,37.433,31.934,29.008,27.062,21.566,18.07,16.263,15.081,11.807,9.7689,8.7283,8.0511
94.844,94.844,94.844,92.991,74.842,71.272,68.597,59.583,52.625,48.639,45.882,37.662,32.124,29.179,27.221,21.691,18.174,16.357,15.168,11.876,9.8265,8.7802,8.0993
95.835,95.835,95.835,93.937,75.455,71.834,69.124,60.005,52.977,48.954,46.175,37.891,32.314,29.349,27.378,21.815,18.277,16.45,15.254,11.944,9.8838,8.8318,8.1472
96.826,96.826,96.826,94.881,76.065,72.394,69.648,60.424,53.327,49.268,46.465,38.117,32.502,29.518,27.535,21.938,18.38,16.543,15.341,12.012,9.9408,8.8831,8.1949
97.818,97.818,97.818,95.825,76.672,72.951,70.171,60.841,53.675,49.581,46.754,38.343,32.69,29.686,27.691,22.061,18.483,16.636,15.426,12.08,9.9975,8.9342,8.2423
98.809,98.809,98.809,96.769,77.277,73.506,70.69,61.256,54.021,49.891,47.042,38.568,32.876,29.854,27.846,22.183,18.585,16.727,15.512,12.147,10.054,8.9851,8.2895
99.8,99.8,99.8,97.711,77.879,74.058,71.208,61.669,54.366,50.2,47.328,38.791,33.061,30.02,28,22.304,18.686,16.819,15.596,12.214,10.11,9.0357,8.3365
100.79,100.79,100.79,98.653,78.479,74.608,71.723,62.08,54.708,50.507,47.612,39.013,33.246,30.186,28.154,22.425,18.787,16.91,15.681,12.281,10.166,9.086,8.3833
101.78,101.78,101.78,99.594,79.077,75.156,72.235,62.489,55.049,50.813,47.895,39.234,33.429,30.35,28.307,22.545,18.888,17,15.765,12.348,10.222,9.1361,8.4298
102.77,102.77,102.77,100.53,79.672,75.701,72.745,62.896,55.388,51.117,48.176,39.454,33.612,30.514,28.459,22.665,18.988,17.09,15.848,12.414,10.277,9.186,8.4761
103.76,103.76,103.76,101.47,80.265,76.244,73.253,63.301,55.725,51.42,48.456,39.672,33.794,30.678,28.61,22.784,19.087,17.18,15.932,12.479,10.332,9.2356,8.5222
104.75,104.75,104.75,102.41,80.856,76.784,73.759,63.703,56.061,51.721,48.735,39.89,33.974,30.84,28.76,22.902,19.186,17.269,16.014,12.545,10.387,9.285,8.5681
105.74,105.74,105.74,103.35,81.444,77.322,74.263,64.104,56.395,52.02,49.012,40.106,34.154,31.001,28.91,23.02,19.284,17.358,16.097,12.61,10.441,9.3342,8.6137
106.73,106.73,106.73,104.29,82.03,77.858,74.764,64.503,56.727,52.318,49.288,40.322,34.333,31.162,29.059,23.137,19.382,17.446,16.179,12.675,10.496,9.3832,8.6592
107.72,107.72,107.72,105.22,82.613,78.392,75.263,64.9,57.058,52.615,49.562,40.536,34.511,31.322,29.207,23.254,19.48,17.534,16.26,12.74,10.55,9.4319,8.7045
108.71,108.71,108.71,106.16,83.194,78.923,75.76,65.295,57.387,52.91,49.835,40.749,34.689,31.481,29.355,23.37,19.577,17.621,16.342,12.804,10.604,9.4804,8.7495
109.7,109.7,109.7,107.09,83.774,79.453,76.255,65.689,57.714,53.204,50.107,40.962,34.865,31.64,29.502,23.486,19.674,17.708,16.423,12.868,10.657,9.5287,8.7944
110.69,110.69,110.69,108.03,84.35,79.98,76.748,66.08,58.04,53.496,50.377,41.173,35.041,31.797,29.648,23.601,19.77,17.795,16.503,12.931,10.711,9.5768,8.839
111.68,111.68,111.68,108.96,84.925,80.505,77.238,66.47,58.364,53.787,50.646,41.383,35.215,31.954,29.794,23.716,19.866,17.881,16.583,12.995,10.764,9.6246,8.8835
112.67,112.67,112.67,109.89,85.498,81.028,77.727,66.858,58.687,54.076,50.914,41.592,35.389,32.111,29.938,23.83,19.961,17.967,16.663,13.058,10.817,9.6723,8.9278
113.65,113.65,113.65,110.83,86.068,81.548,78.213,67.244,59.008,54.364,51.181,41.801,35.562,32.266,30.083,23.943,20.056,18.053,16.743,13.121,10.869,9.7198,8.9718
114.64,114.64,114.64,111.76,86.636,82.067,78.698,67.628,59.328,54.651,51.446,42.008,35.735,32.421,30.226,24.056,20.151,18.138,16.822,13.183,10.922,9.767,9.0157
115.63,115.63,115.63,112.69,87.202,82.584,79.18,68.011,59.647,54.936,51.71,42.214,35.906,32.575,30.369,24.169,20.245,18.223,16.901,13.246,10.974,9.8141,9.0594
116.62,116.62,116.62,113.62,87.766,83.098,79.661,68.392,59.964,55.22,51.973,42.42,36.077,32.728,30.511,24.281,20.338,18.307,16.979,13.308,11.026,9.8609,9.103
117.6,117.6,117.61,114.54,88.328,83.611,80.139,68.771,60.279,55.503,52.235,42.624,36.247,32.881,30.653,24.392,20.432,18.391,17.057,13.37,11.078,9.9076,9.1463
118.59,118.59,118.59,115.47,88.888,84.121,80.616,69.149,60.593,55.785,52.495,42.828,36.416,33.033,30.794,24.503,20.525,18.475,17.135,13.431,11.129,9.9541,9.1895
119.58,119.58,119.58,116.4,89.446,84.63,81.09,69.525,60.906,56.065,52.755,43.031,36.585,33.185,30.934,24.614,20.617,18.558,17.212,13.492,11.18,10,9.2324
120.57,120.57,120.57,117.33,90.001,85.136,81.563,69.899,61.217,56.344,53.013,43.232,36.753,33.335,31.074,24.724,20.709,18.641,17.289,13.553,11.232,10.046,9.2753
121.55,121.55,121.55,118.25,90.555,85.641,82.034,70.272,61.527,56.622,53.27,43.433,36.92,33.486,31.213,24.834,20.801,18.724,17.366,13.614,11.282,10.092,9.3179
122.54,122.54,122.54,119.18,91.107,86.144,82.503,70.643,61.835,56.899,53.526,43.633,37.086,33.635,31.352,24.943,20.892,18.806,17.443,13.675,11.333,10.138,9.3604
123.53,123.53,123.53,120.1,91.657,86.644,82.97,71.013,62.143,57.174,53.781,43.833,37.252,33.784,31.49,25.052,20.983,18.888,17.519,13.735,11.384,10.184,9.4027
124.51,124.51,124.51,121.02,92.205,87.143,83.435,71.381,62.449,57.448,54.034,44.031,37.417,33.932,31.627,25.16,21.074,18.97,17.595,13.795,11.434,10.229,9.4448
125.5,125.5,125.5,121.94,92.751,87.64,83.899,71.747,62.753,57.722,54.287,44.228,37.581,34.08,31.764,25.268,21.164,19.052,17.67,13.855,11.484,10.274,9.4868
126.48,126.48,126.48,122.87,93.295,88.135,84.361,72.112,63.057,57.993,54.539,44.425,37.744,34.227,31.901,25.376,21.254,19.133,17.746,13.914,11.534,10.319,9.5286
127.47,127.47,127.47,123.79,93.837,88.629,84.821,72.476,63.359,58.264,54.789,44.621,37.907,34.373,32.036,25.483,21.344,19.213,17.821,13.974,11.584,10.364,9.5703
128.45,128.45,128.46,124.71,94.377,89.12,85.279,72.838,63.66,58.534,55.039,44.816,38.07,34.519,32.172,25.589,21.433,19.294,17.895,14.033,11.633,10.409,9.6118
129.44,129.44,129.44,125.63,94.915,89.61,85.735,73.198,63.959,58.802,55.287,45.01,38.231,34.664,32.306,25.695,21.522,19.374,17.97,14.092,11.683,10.453,9.6531
130.42,130.42,130.43,126.54,95.452,90.098,86.19,73.558,64.258,59.07,55.535,45.204,38.392,34.809,32.441,25.801,21.61,19.453,18.044,14.15,11.732,10.497,9.6943
131.41,131.41,131.41,127.46,95.986,90.584,86.643,73.915,64.555,59.336,55.781,45.396,38.553,34.953,32.574,25.907,21.698,19.533,18.118,14.209,11.781,10.542,9.7353
132.39,132.39,132.39,128.38,96.519,91.068,87.095,74.272,64.851,59.602,56.027,45.588,38.712,35.097,32.707,26.011,21.786,19.612,18.191,14.267,11.83,10.586,9.7762
133.38,133.38,133.38,129.29,97.05,91.551,87.544,74.626,65.145,59.866,56.271,45.78,38.871,35.24,32.84,26.116,21.874,19.691,18.264,14.325,11.878,10.629,9.8169
134.36,134.36,134.36,130.21,97.58,92.032,87.992,74.98,65.439,60.129,56.515,45.97,39.03,35.382,32.972,26.22,21.961,19.77,18.337,14.383,11.927,10.673,9.8575
135.35,135.35,135.35,131.12,98.107,92.511,88.439,75.332,65.732,60.391,56.757,46.16,39.188,35.524,33.104,26.324,22.048,19.848,18.41,14.441,11.975,10.717,9.8979
136.33,136.33,136.33,132.04,98.633,92.989,88.883,75.683,66.023,60.652,56.999,46.349,39.345,35.665,33.235,26.427,22.134,19.926,18.483,14.498,12.023,10.76,9.9382
137.31,137.31,137.31,132.95,99.157,93.465,89.327,76.032,66.313,60.912,57.24,46.537,39.501,35.806,33.365,26.53,22.22,20.004,18.555,14.555,12.071,10.803,9.9784
138.3,138.3,138.3,133.86,99.679,93.939,89.768,76.38,66.602,61.172,57.479,46.724,39.658,35.946,33.496,26.633,22.306,20.081,18.627,14.612,12.119,10.846,10.018
139.28,139.28,139.28,134.77,100.2,94.411,90.208,76.727,66.89,61.43,57.718,46.911,39.813,36.086,33.625,26.735,22.392,20.158,18.698,14.669,12.166,10.889,10.058
140.26,140.26,140.26,135.68,100.72,94.882,90.647,77.073,67.177,61.687,57.956,47.097,39.968,36.225,33.754,26.837,22.477,20.235,18.77,14.725,12.214,10.932,10.098
141.24,141.24,141.24,136.59,101.24,95.352,91.084,77.417,67.463,61.943,58.193,47.283,40.122,36.364,33.883,26.939,22.562,20.312,18.841,14.782,12.261,10.975,10.138
